,Stats_SeasonEnd,Age_seasonEnd,Games,GamesStarted,MinPlayed,PER,TS%,OffRb%,Drebound%,TotalRbnd%,Assist%,Steal%,Block%,Turnover%,Usg%,OffWinShares,Dwinshares,WinShares,3PtMade,3PtAttempt,3Pt%,2PMade,2PAttempt,2Pt%,FTMade,FTAttempt,FT%,Offrb,Drebounds,TotalRbnds,Assists,Steals,Blocks,Turnover,PersonalFouls,Pts,Salary,next_season_salary,next_season_winshares,next_season_off_winshares,next_season_def_winshares,Player_first_year,Years_Playing,Position_Mapped,Season_Salary_Cap,Salary_as_percent_of_cap,next_season_salary_as_percent_of_cap
Stats_SeasonEnd,1.0,-0.06085419184418892,-0.05590526935566189,-0.03917499499583847,-0.05460542846543798,-0.003960444777025005,0.0348662668982209,-0.10502636609367932,0.07107367588130384,-0.006239836899354094,-0.02299966837551905,-0.07237199744318071,0.03409577118042724,-0.07589643272423206,-0.038942488793064424,-0.02893556513877727,-0.04702084054402163,-0.03914219612234494,0.1478522499965058,0.15100909040470234,0.10823417816475378,-0.10551963193451994,-0.11393420652980778,0.03555152741769303,-0.07894667327568276,-0.08764806599430498,0.003155325771338564,-0.12500816596947692,-0.008624465690211074,-0.046048066871542274,-0.05606548961593316,-0.0896934029419143,-0.05156800523185146,-0.09380494873158518,-0.12073117265365078,-0.04680933296560037,0.2831585199181393,0.28219982527219645,-0.04236160760264599,-0.03253297840364652,-0.048894800378531084,0.8507870703074751,0.0478154965550261,0.0271218004409476,0.9657221632960084,-0.0804670133133124,-0.08079253698689165
Age_seasonEnd,-0.06085419184418892,1.0,0.0023260999459048686,0.023193661815205113,0.018004743412938923,-0.0284286802848883,0.01346957514081684,-0.07051601299962958,0.007575983706582263,-0.027849397249459947,0.04037629106725317,-0.042446207568712896,-0.06305102599707964,0.003906778303711374,-0.1644604926684718,0.047329297597426524,0.05586511772765454,0.0555627959485449,0.03682968778065424,0.026652394607343415,0.029586428744684316,-0.034623167374967595,-0.03435880048409037,-0.026372824254942154,-0.03328713865679703,-0.04810776737666622,0.068178926290929,-0.039139595547615,0.01978008964061134,0.001547526944722076,0.03703405543444403,-0.004419364720932233,-0.04188555186773669,-0.03633255203812078,-0.010225818778103538,-0.02020925542999897,0.18836000045763637,0.13585934839586558,-0.038571251056209656,-0.04178451220889117,-0.024156948255439296,-0.4685982766992779,0.789362674752421,-0.018641862768338197,-0.05945143072632135,0.19844025873167978,0.14572353295077634
Games,-0.05590526935566189,0.0023260999459048686,1.0,0.6390097521981193,0.8622929217381318,0.38945081731132464,0.368306184693706,-0.048287292155799744,0.044981730463698716,0.004059710408769441,0.14578571610010252,0.025173228731419414,0.014010730770279072,-0.14532883056097776,0.0813868313911481,0.5411577093939718,0.6913720586000318,0.6550100737875159,0.46011046172217146,0.4782919200307337,0.22994149680029116,0.7066673735742754,0.7158907452423175,0.30168374952923466,0.6285256205286065,0.6430416771412546,0.3671760167736012,0.6138850322193847,0.7135692610585648,0.7028123465527454,0.5700241632205464,0.720504832960411,0.471300632837323,0.7373480138555106,0.8658605210607146,0.7329760683242827,0.2645859356294585,0.26580266531347385,0.4239014510788028,0.3638878361521062,0.42516343346902574,-0.07535929233594822,0.05015932650241023,0.028669291182227122,-0.0501998782176183,0.3073283343510272,0.3085356222042944
GamesStarted,-0.03917499499583847,0.023193661815205113,0.6390097521981193,1.0,0.871538022620662,0.4253561401378205,0.2761154253199815,-0.03450132638198992,0.10316752636704637,0.04932570338041666,0.21967169681881168,0.03143183134384793,0.03410723915083655,-0.12440335958134946,0.2238024819042491,0.676252221448155,0.7320160559047909,0.7643427857638817,0.44786967961280805,0.46240174075138474,0.16095320170963295,0.8087412353335452,0.8098675772516922,0.22773534431579567,0.7345887872937337,0.7441654428520397,0.22970410030895708,0.6215063079366457,0.7705950313507726,0.7457445997483335,0.6522280539127142,0.7451261301606515,0.5121376627044685,0.8016093739903287,0.7453832291878028,0.8207115472254248,0.44760848200670583,0.46501002203648656,0.561574075889199,0.4999365382131589,0.5328367974542499,-0.08507105018826559,0.09647363805615324,0.02440902808553701,-0.03552514723247679,0.49999391192309256,0.5173136239729151
MinPlayed,-0.05460542846543798,0.018004743412938923,0.8622929217381318,0.871538022620662,1.0,0.4876496712521404,0.35512333081627184,-0.0911439462450687,0.047310466146711194,-0.014979232096264582,0.2593902620447418,0.05146190546882549,-0.018645716388768805,-0.17081772269586423,0.24687773434310978,0.7402942634260964,0.8035788887316129,0.837657727722805,0.5733589358551711,0.5941711489544963,0.25895583356633717,0.8904671405776955,0.8988965578950056,0.27516474188779255,0.8275584242245868,0.8336538352819769,0.34185233017495903,0.6667695191340807,0.8344098356177978,0.8055197588336919,0.736572528740942,0.8605639685050153,0.5206537036783171,0.9038373641917588,0.8778542552253064,0.9298078211777001,0.4288860236498722,0.45433236704309954,0.608446241674514,0.5476313524115645,0.56737139579082,-0.09738591833035144,0.09419025101871815,0.04177655814510685,-0.04948082538436028,0.4924659720535891,0.5167573002546134
PER,-0.003960444777025005,-0.0284286802848883,0.38945081731132464,0.4253561401378205,0.4876496712521404,1.0,0.6998079989156643,0.2003859643842699,0.19983450300200623,0.23668269312819107,0.2685960353203465,0.17499386345020107,0.12439424916212385,-0.31402983185792854,0.3598237187255421,0.571829964129191,0.46513739741203236,0.5827419533882348,0.26043591194213006,0.2628914678632787,0.17459498580918498,0.5520687344032429,0.5341838955534502,0.5800490475012173,0.5474504618617323,0.5505090897457123,0.36245613190902176,0.40749667149192687,0.48231124677499754,0.4726655016190842,0.40338488973262077,0.45260168104643755,0.3478761162026591,0.49643640219963586,0.4122046711571115,0.5581189104596107,0.3540974671209069,0.4067975241376787,0.5080392103309664,0.4825262695505636,0.4314127748105461,-0.020129161849889506,0.031666309505423866,-0.05162434343132053,-0.003914081556417504,0.3846497958325656,0.43292257211620394
TS%,0.0348662668982209,0.01346957514081684,0.368306184693706,0.2761154253199815,0.35512333081627184,0.6998079989156643,1.0,0.014989291305623442,0.07479555010293482,0.05358284311112405,0.06952423579080597,0.012465934950374543,0.025094753655306785,-0.09658380500734784,0.11407931736559304,0.39790870490492886,0.2984625676748603,0.3952806225651396,0.24084413565879903,0.2256859791022662,0.23174399038925017,0.31468582473642154,0.2875350164766336,0.8170612548785431,0.3215929704409222,0.3205485161362385,0.43919136016115956,0.2655128365502076,0.3171323631157511,0.31001494281683273,0.22061871652308207,0.27982833793529704,0.2159534444353296,0.30320054900807003,0.3456296868011932,0.345569967049571,0.1889215752187524,0.21067463458059177,0.3043939241152847,0.2988122150338177,0.2422276696507133,0.00787997683118379,0.04307235791713704,0.012933756738433336,0.03938711364069041,0.18804006241437848,0.20758469874304317
OffRb%,-0.10502636609367932,-0.07051601299962958,-0.048287292155799744,-0.03450132638198992,-0.0911439462450687,0.2003859643842699,0.014989291305623442,1.0,0.48870923207538663,0.8183961477451726,-0.4281659598068636,-0.14682549442528367,0.34449578187247537,0.009753081778409778,-0.01611013418144309,-0.029792644602672495,0.07363948391756622,0.009661443545249667,-0.36038830403875505,-0.36983409091409297,-0.42940171708600705,0.010507182871364085,-0.014357686185508093,0.11974488223638469,-0.04414130768894408,0.004306593851625248,-0.2452653782892061,0.3869789535829882,0.16081325293315413,0.23779296887452922,-0.2722607281538215,-0.15660031421378245,0.2624349253096082,-0.09948874404316863,0.07852532596298471,-0.10162894042093419,-0.030710029982120583,-0.015685865940896403,0.022954154905406,-0.03177002447601879,0.10938115232265178,-0.04652642387720169,-0.08642779038148025,-0.17793698713968462,-0.10395386620735805,0.01675341345637559,0.03597738030129864
Drebound%,0.07107367588130384,0.007575983706582263,0.044981730463698716,0.10316752636704637,0.047310466146711194,0.19983450300200623,0.07479555010293482,0.48870923207538663,1.0,0.8947287551173588,-0.3717695416429809,-0.1743412269117193,0.4041694012316355,0.026507025087126917,-0.05027758420112257,0.059239831062137226,0.26243624485663136,0.1484134372259069,-0.23883173673426397,-0.24478100490373877,-0.32683094121446854,0.13207540372292978,0.10533518594605291,0.1488074768127449,0.07400324668189837,0.12209668974046699,-0.13552388594639764,0.43497062608737236,0.4123841126940029,0.43177919477081966,-0.18351898386502963,-0.06077889595766774,0.39339325529912744,0.02824926886385061,0.18717035572014662,0.03831765024363363,0.17743539540498016,0.1881845325489928,0.1405580728074573,0.05067987151568498,0.25763432991808427,0.044247639912083796,0.03423009748266446,-0.1859634116167821,0.07261034283017571,0.17252023501820374,0.18435550042277588
TotalRbnd%,-0.006239836899354094,-0.027849397249459947,0.004059710408769441,0.04932570338041666,-0.014979232096264582,0.23668269312819107,0.05358284311112405,0.8183961477451726,0.8947287551173588,1.0,-0.45234921006541773,-0.18802109514875445,0.42961403163979905,0.019531484405382094,-0.04097320044742012,0.026594853914543252,0.20918445354368376,0.10407926778924369,-0.33146685632461365,-0.3403296424208403,-0.4231679380361075,0.09037826797751182,0.06021027929644874,0.15295663587045363,0.0267053715006632,0.08142503019226846,-0.2129638830399094,0.46954365016129374,0.34548921395099497,0.3953134978556147,-0.25220629776174,-0.11722401284183401,0.3839072618728166,-0.031025892128034294,0.15807441334423508,-0.02514881142615566,0.1002250608567531,0.11564900882949532,0.10436703838881813,0.019871278209794306,0.22116455941892085,0.004590991148662893,-0.019115185407425492,-0.20730431623097068,-0.004762958554770893,0.12062201844616434,0.13793734109790637
