Player,Player,Stats_SeasonEnd,Salary,missing
A.C. Green,14,14,12,2
A.J. Bramlett,1,1,1,0
A.J. English,2,2,2,0
A.J. Guyton,3,3,3,0
A.J. Hammons,1,1,1,0
A.J. Price,9,9,8,1
A.J. Wynder,1,1,1,0
Aaron Brooks,18,18,13,5
Aaron Gordon,3,3,3,0
Aaron Gray,11,11,11,0
Aaron Harrison,2,2,2,0
Aaron McKie,19,19,16,3
Aaron Miles,1,1,1,0
Aaron Swinson,1,1,1,0
Aaron Williams,20,20,19,1
Acie Earl,6,6,6,0
Acie Law,12,12,12,0
Adam Harrington,3,3,3,0
Adam Keefe,9,9,8,1
Adam Morrison,5,5,4,1
Adonal Foyle,15,15,15,0
Adonis Jordan,2,2,1,1
Adonis Thomas,3,3,0,3
Adreian Payne,5,5,5,0
Adrian Branch,1,1,0,1
Adrian Caldwell,8,8,4,4
Adrian Dantley,2,2,1,1
Adrian Griffin,11,11,10,1
Al Harrington,21,21,19,2
Al Horford,10,10,10,0
Al Jefferson,13,13,10,3
Al Thornton,8,8,8,0
Al-Farouq Aminu,7,7,7,0
Alaa Abdelnaby,9,9,9,0
Alan Anderson,8,8,5,3
Alan Henderson,12,12,11,1
Alan Ogg,5,5,2,3
Alan Williams,2,2,2,0
Alando Tucker,5,5,5,0
Albert King,1,1,0,1
Alec Burks,6,6,6,0
Alec Kessler,4,4,4,0
Aleksandar Djordjevic,1,1,0,1
Aleksandar Radojevic,2,2,2,0
Alex Abrines,1,1,1,0
Alex Acker,4,4,4,0
Alex Blackwell,1,1,1,0
Alex English,2,2,1,1
Alex Garcia,2,2,2,0
Alex Kirk,1,1,1,0
Alex Len,4,4,4,0
Alex Poythress,2,2,2,0
Alex Scales,1,1,0,1
Alex Stepheson,6,6,6,0
Alex Stivrins,5,5,5,0
Alexander Johnson,2,2,2,0
Alexander Volkov,2,2,1,1
Alexey Shved,6,6,6,0
Alexis Ajinca,9,9,6,3
Allan Houston,12,12,9,3
Allan Ray,1,1,0,1
Allen Crabbe,4,4,3,1
Allen Iverson,23,23,17,6
Alonzo Gee,22,22,21,1
Alonzo Mourning,18,18,16,2
Alphonso Ford,2,2,0,2
Alton Ford,3,3,3,0
Alton Lister,10,10,9,1
Alvin Heggs,1,1,0,1
Alvin Jones,1,1,1,0
