,0,1,2,3,4,5,6,7,8
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,1,"James Harden, PG",HOU,72,35.4,6.80,-0.13,6.67,15.97
2,2,"LeBron James, SF",CLE,82,36.9,5.66,-0.67,4.99,15.91
3,3,"Anthony Davis, PF",NO,75,36.4,1.78,3.80,5.58,15.61
4,4,"Russell Westbrook, PG",OKC,80,36.4,3.95,0.97,4.92,15.28
5,5,"Victor Oladipo, SG",IND,75,34.0,2.76,3.25,6.01,14.93
6,6,"Robert Covington, SF",PHI,80,31.6,1.26,4.30,5.56,14.50
7,7,"Nikola Jokic, C",DEN,75,32.5,4.06,1.89,5.95,14.00
8,8,"Damian Lillard, PG",POR,73,36.6,5.34,-0.38,4.96,13.77
9,9,"Kyle Lowry, PG",TOR,78,32.2,4.23,1.02,5.25,13.71
10,10,"Karl-Anthony Towns, C",MIN,82,35.6,3.85,0.35,4.20,13.43
11,11,"Jrue Holiday, PG",NO,81,36.1,1.65,2.11,3.76,13.18
12,12,"Jimmy Butler, SG",MIN,59,36.7,3.61,2.84,6.45,12.88
13,13,"Giannis Antetokounmpo, PF",MIL,75,36.7,2.59,1.55,4.14,12.74
14,14,"Otto Porter Jr., SF",WSH,77,31.6,2.97,2.03,5.00,12.58
15,15,"Kemba Walker, PG",CHA,80,34.2,4.44,-0.61,3.83,12.30
16,16,"Chris Paul, PG",HOU,58,31.8,5.44,1.60,7.04,11.80
17,17,"Paul George, SF",OKC,79,36.6,2.28,0.73,3.01,11.32
18,18,"Stephen Curry, PG",GS,51,32.0,6.67,0.21,6.88,11.23
19,19,"Draymond Green, PF",GS,70,32.7,0.69,3.40,4.09,11.05
20,20,"Joe Ingles, SF",UTAH,82,31.5,2.21,1.38,3.59,10.96
21,21,"Ben Simmons, PG",PHI,81,33.7,1.31,1.37,2.68,10.51
22,22,"Al Horford, PF",BOS,72,31.6,1.18,2.69,3.87,10.02
23,23,"Joel Embiid, C",PHI,63,30.3,1.42,3.58,5.00,10.01
24,24,"LaMarcus Aldridge, PF",SA,75,33.5,1.98,1.26,3.24,9.94
25,25,"Kevin Durant, SF",GS,68,34.2,4.06,-0.89,3.17,9.82
26,26,"Jayson Tatum, SF",BOS,80,30.5,0.86,1.99,2.85,9.12
27,27,"Donovan Mitchell, SG",UTAH,79,33.4,1.62,0.63,2.25,9.00
28,28,"Khris Middleton, SF",MIL,82,36.4,2.63,-1.17,1.46,8.73
29,29,"Eric Bledsoe, PG",MIL/PHX,74,31.4,2.51,0.05,2.56,8.46
30,30,"Bradley Beal, SG",WSH,82,36.3,2.05,-0.73,1.32,8.45
31,31,"DeMar DeRozan, SG",TOR,80,33.9,3.42,-1.75,1.67,8.41
32,32,"Klay Thompson, SG",GS,73,34.3,1.77,0.11,1.88,8.33
33,33,"Spencer Dinwiddie, PG",BKN,80,28.8,2.64,-0.23,2.41,8.11
34,34,"Rudy Gobert, C",UTAH,56,32.4,-1.37,5.12,3.75,7.94
35,35,"Ricky Rubio, PG",UTAH,77,29.3,0.39,1.95,2.34,7.78
36,36,"Kyle Anderson, SF",SA,74,26.7,-0.14,3.21,3.07,7.72
37,37,"Andre Drummond, C",DET,78,33.7,0.01,1.42,1.43,7.55
38,38,"Tobias Harris, SF",DET/LAC,80,33.4,2.29,-1.04,1.25,7.51
39,39,"DeMarcus Cousins, C",NO,48,36.2,2.09,1.57,3.66,7.50
40,40,"Gary Harris, SG",DEN,67,34.4,1.76,0.16,1.92,7.41
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,41,"Steven Adams, C",OKC,76,32.7,0.73,0.80,1.53,7.38
2,42,"Thaddeus Young, PF",IND,81,32.2,-0.32,1.60,1.28,7.29
3,43,"Tyus Jones, PG",MIN,82,17.9,2.36,2.40,4.76,7.25
4,44,"Kevin Love, C",CLE,59,28.0,1.90,1.77,3.67,7.21
5,45,"Kelly Olynyk, PF",MIA,76,23.4,2.46,0.90,3.36,7.13
6,46,"Eric Gordon, SG",HOU,69,31.2,2.77,-0.75,2.02,7.11
7,47,"Trevor Ariza, SF",HOU,67,33.9,0.51,1.11,1.62,6.97
8,48,"Clint Capela, C",HOU,74,27.5,-0.80,3.03,2.23,6.93
9,49,"Josh Richardson, SF",MIA,81,33.2,0.34,0.63,0.97,6.90
10,50,"Marc Gasol, C",MEM,73,33.0,-0.23,1.74,1.51,6.85
11,51,"Darren Collison, PG",IND,69,29.2,2.86,-0.66,2.20,6.84
12,52,"Kyrie Irving, PG",BOS,60,32.2,3.83,-1.36,2.47,6.84
13,53,"Al-Farouq Aminu, PF",POR,69,30.0,-0.30,2.34,2.04,6.80
14,54,"DeMarre Carroll, SF",BKN,73,29.9,0.24,1.47,1.71,6.73
15,55,"Jusuf Nurkic, C",POR,79,26.4,-2.31,4.18,1.87,6.62
16,56,"Blake Griffin, PF",DET/LAC,58,34.0,1.93,0.16,2.09,6.57
17,57,"Tyreke Evans, SG",MEM,52,30.9,2.97,0.57,3.54,6.54
