RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,"$25,000,000 "
2,"LeBron James, SF",Cleveland Cavaliers,"$22,970,500 "
3,"Carmelo Anthony, PF",New York Knicks,"$22,875,000 "
4,"Dwight Howard, C",Houston Rockets,"$22,359,364 "
5,"Chris Bosh, PF",Miami Heat,"$22,192,730 "
6,"Chris Paul, PG",LA Clippers,"$21,468,695 "
7,"Kevin Durant, SF",Oklahoma City Thunder,"$20,158,622 "
8,"Derrick Rose, PG",Chicago Bulls,"$20,093,064 "
9,"Dwyane Wade, SG",Miami Heat,"$20,000,000 "
10,"LaMarcus Aldridge, PF",San Antonio Spurs,"$19,689,000 "
11,"Kevin Love, C",Cleveland Cavaliers,"$19,689,000 "
12,"Marc Gasol, C",Memphis Grizzlies,"$19,688,000 "
13,"Blake Griffin, PF",LA Clippers,"$18,907,726 "
14,"Paul Millsap, PF",Atlanta Hawks,"$18,671,659 "
15,"Paul George, SF",Indiana Pacers,"$17,120,106 "
16,"Russell Westbrook, PG",Oklahoma City Thunder,"$16,744,218 "
17,"Kyrie Irving, PG",Cleveland Cavaliers,"$16,407,501 "
18,"Kawhi Leonard, SF",San Antonio Spurs,"$16,407,500 "
19,"Enes Kanter, C",Oklahoma City Thunder,"$16,407,500 "
20,"Greg Monroe, C",Milwaukee Bucks,"$16,407,500 "
21,"Tobias Harris, SF",Orlando Magic,"$16,000,000 "
22,"John Wall, PG",Washington Wizards,"$15,851,950 "
23,"DeMarcus Cousins, C",Sacramento Kings,"$15,851,950 "
24,"James Harden, PG",Houston Rockets,"$15,756,438 "
25,"Roy Hibbert, C",Los Angeles Lakers,"$15,592,217 "
26,"Eric Gordon, SG",New Orleans Pelicans,"$15,514,031 "
27,"Klay Thompson, SG",Golden State Warriors,"$15,501,000 "
28,"Gordon Hayward, SF",Utah Jazz,"$15,409,570 "
29,"Chandler Parsons, SF",Dallas Mavericks,"$15,361,500 "
30,"Goran Dragic, PG",Miami Heat,"$14,783,000 "
31,"Khris Middleton, SF",Milwaukee Bucks,"$14,700,000 "
32,"Draymond Green, PF",Golden State Warriors,"$14,260,870 "
33,"Tristan Thompson, C",Cleveland Cavaliers,"$14,260,870 "
34,"Danilo Gallinari, SF",Denver Nuggets,"$14,000,000 "
35,"Reggie Jackson, PG",Detroit Pistons,"$13,913,044 "
36,"Andrew Bogut, C",Golden State Warriors,"$13,800,000 "
37,"DeMarre Carroll, SF",Toronto Raptors,"$13,600,000 "
38,"Brandon Knight, PG",Phoenix Suns,"$13,500,000 "
39,"Al Jefferson, C",Charlotte Hornets,"$13,500,000 "
40,"Tony Parker, PG",San Antonio Spurs,"$13,437,500 "
41,"Joakim Noah, C",Chicago Bulls,"$13,400,000 "
42,"Nicolas Batum, SG",Charlotte Hornets,"$13,125,306 "
43,"Tyson Chandler, C",Phoenix Suns,"$13,000,000 "
44,"Nene Hilario, C",Washington Wizards,"$13,000,000 "
45,"Ricky Rubio, PG",Minnesota Timberwolves,"$12,700,000 "
46,"Robin Lopez, C",New York Knicks,"$12,650,000 "
47,"Rudy Gay, SF",Sacramento Kings,"$12,403,101 "
48,"Serge Ibaka, PF",Oklahoma City Thunder,"$12,250,000 "
49,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000 "
50,"Kemba Walker, PG",Charlotte Hornets,"$12,000,000 "
51,"Al Horford, PF",Atlanta Hawks,"$12,000,000 "
52,"Andre Iguodala, SF",Golden State Warriors,"$11,710,456 "
53,"Stephen Curry, PG",Golden State Warriors,"$11,370,786 "
54,"Nikola Vucevic, C",Orlando Magic,"$11,250,000 "
55,"Thaddeus Young, PF",Brooklyn Nets,"$11,235,955 "
56,"Kenneth Faried, PF",Denver Nuggets,"$11,235,955 "
57,"Marcin Gortat, C",Washington Wizards,"$11,217,391 "
58,"Tyreke Evans, SG",New Orleans Pelicans,"$10,734,586 "
59,"Jrue Holiday, PG",New Orleans Pelicans,"$10,595,507 "
60,"Brendan Haywood, C",Portland Trail Blazers,"$10,522,500 "
61,"Wilson Chandler, SF",Denver Nuggets,"$10,449,438 "
62,"Monta Ellis, SG",Indiana Pacers,"$10,300,000 "
63,"Luol Deng, SF",Miami Heat,"$10,151,612 "
64,"Gerald Wallace, SF",Philadelphia 76ers,"$10,105,855 "
65,"DeMar DeRozan, SG",Toronto Raptors,"$10,050,000 "
66,"Danny Green, SG",San Antonio Spurs,"$10,000,000 "
67,"Tiago Splitter, C",Atlanta Hawks,"$9,756,250 "
68,"Jeff Green, SF",Memphis Grizzlies,"$9,650,000 "
69,"Zach Randolph, PF",Memphis Grizzlies,"$9,638,555 "
70,"Mike Conley, PG",Memphis Grizzlies,"$9,588,426 "
71,"Rajon Rondo, PG",Sacramento Kings,"$9,500,000 "
72,"Alec Burks, SG",Utah Jazz,"$9,463,484 "
73,"Omer Asik, C",New Orleans Pelicans,"$9,213,483 "
74,"Lance Stephenson, SG",Memphis Grizzlies,"$9,000,000 "
75,"Iman Shumpert, SG",Cleveland Cavaliers,"$8,988,765 "
76,"Taj Gibson, PF",Chicago Bulls,"$8,500,000 "
77,"Kevin Garnett, PF",Minnesota Timberwolves,"$8,500,000 "
78,"Ryan Anderson, PF",New Orleans Pelicans,"$8,500,000 "
79,"Brandon Jennings, PG",Orlando Magic,"$8,344,497 "
80,"Dirk Nowitzki, C",Dallas Mavericks,"$8,333,334 "
81,"Corey Brewer, SF",Houston Rockets,"$8,229,375 "
82,"Trevor Ariza, SF",Houston Rockets,"$8,193,030 "
83,"Channing Frye, PF",Orlando Magic,"$8,193,029 "
84,"Al-Farouq Aminu, PF",Portland Trail Blazers,"$8,042,895 "
85,"Jeff Teague, PG",Atlanta Hawks,"$8,000,000 "
86,"Markieff Morris, PF",Washington Wizards,"$8,000,000 "
87,"Arron Afflalo, SG",New York Knicks,"$8,000,000 "
88,"George Hill, PG",Indiana Pacers,"$8,000,000 "
89,"Ersan Ilyasova, PF",Orlando Magic,"$7,900,000 "
90,"Avery Bradley, SG",Boston Celtics,"$7,730,337 "
91,"Kosta Koufos, C",Sacramento Kings,"$7,700,000 "
92,"Boris Diaw, C",San Antonio Spurs,"$7,500,000 "
93,"Pau Gasol, C",Chicago Bulls,"$7,448,760 "
94,"Jose Calderon, PG",New York Knicks,"$7,402,812 "
95,"JJ Redick, SG",LA Clippers,"$7,085,000 "
96,"Anthony Davis, PF",New Orleans Pelicans,"$7,070,730 "
97,"Marvin Williams, PF",Charlotte Hornets,"$7,000,000 "
98,"Rodney Stuckey, PG",Indiana Pacers,"$7,000,000 "
99,"Ed Davis, PF",Portland Trail Blazers,"$6,980,802 "
100,"Isaiah Thomas, PG",Boston Celtics,"$6,912,869 "
101,"Jae Crowder, PF",Boston Celtics,"$6,796,117 "
102,"Greivis Vasquez, PG",Milwaukee Bucks,"$6,600,000 "
103,"Carl Landry, PF",Philadelphia 76ers,"$6,500,000 "
104,"Aron Baynes, C",Detroit Pistons,"$6,500,000 "
105,"Patrick Beverley, PG",Houston Rockets,"$6,486,486 "
106,"Michael Kidd-Gilchrist, SF",Charlotte Hornets,"$6,331,404 "
107,"Jarrett Jack, PG",Brooklyn Nets,"$6,300,000 "
108,"Jodie Meeks, SG",Detroit Pistons,"$6,270,000 "
109,"Patrick Patterson, PF",Toronto Raptors,"$6,268,675 "
110,"Spencer Hawes, PF",Charlotte Hornets,"$6,110,034 "
111,"Marco Belinelli, SG",Sacramento Kings,"$6,060,606 "
112,"Gerald Henderson, SG",Portland Trail Blazers,"$6,000,000 "
113,"Andrew Wiggins, SF",Minnesota Timberwolves,"$5,758,680 "
114,"Kyle Korver, SG",Atlanta Hawks,"$5,746,479 "
115,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$5,703,600 "
116,"Bradley Beal, SG",Washington Wizards,"$5,694,674 "
117,"Courtney Lee, SG",Charlotte Hornets,"$5,675,000 "
118,"Jamal Crawford, SG",LA Clippers,"$5,675,000 "
119,"Martell Webster, SF",New Orleans Pelicans,"$5,613,500 "
120,"Shaun Livingston, PG",Golden State Warriors,"$5,543,725 "
121,"Nikola Mirotic, PF",Chicago Bulls,"$5,543,725 "
122,"Mirza Teletovic, PF",Phoenix Suns,"$5,500,000 "
123,"PJ Tucker, SF",Phoenix Suns,"$5,500,000 "
124,"Brandan Wright, F",Memphis Grizzlies,"$5,464,000 "
125,"Deron Williams, PG",Dallas Mavericks,"$5,378,974 "
126,"Tim Duncan, C",San Antonio Spurs,"$5,250,000 "
127,"Nick Young, SG",Los Angeles Lakers,"$5,219,169 "
128,"Zaza Pachulia, C",Dallas Mavericks,"$5,200,000 "
129,"Victor Oladipo, SG",Orlando Magic,"$5,192,520 "
130,"Tony Allen, SG",Memphis Grizzlies,"$5,158,539 "
131,"Jabari Parker, PF",Milwaukee Bucks,"$5,152,440 "
132,"Dion Waiters, SG",Oklahoma City Thunder,"$5,138,430 "
133,"D'Angelo Russell, PG",Los Angeles Lakers,"$5,103,120 "
134,"Chris Kaman, C",Portland Trail Blazers,"$5,016,000 "
135,"Darren Collison, PG",Sacramento Kings,"$5,013,559 "
136,"Jonas Jerebko, PF",Boston Celtics,"$5,000,000 "
137,"Chris Andersen, PF",Memphis Grizzlies,"$5,000,000 "
138,"Marcus Morris, PF",Detroit Pistons,"$5,000,000 "
139,"Timofey Mozgov, C",Cleveland Cavaliers,"$4,950,000 "
140,"Trevor Booker, PF",Utah Jazz,"$4,775,000 "
141,"Otto Porter Jr., SF",Washington Wizards,"$4,662,960 "
142,"Jonas Valanciunas, C",Toronto Raptors,"$4,660,482 "
143,"Joel Embiid, C",Philadelphia 76ers,"$4,626,960 "
144,"Jahlil Okafor, C",Philadelphia 76ers,"$4,582,680 "
145,"Kyle Singler, SF",Oklahoma City Thunder,"$4,500,000 "
146,"Mike Dunleavy, SG",Chicago Bulls,"$4,500,000 "
147,"CJ Miles, SF",Indiana Pacers,"$4,394,225 "
148,"Alexis Ajinca, C",New Orleans Pelicans,"$4,389,607 "
149,"Jared Dudley, SF",Washington Wizards,"$4,375,000 "
150,"Jameer Nelson, PG",Denver Nuggets,"$4,345,000 "
151,"Mario Chalmers, PG",Memphis Grizzlies,"$4,300,000 "
