,0,1,2,3
0,RK,NAME,TEAM,SALARY
1,1,"LeBron James, SF",Cleveland Cavaliers,"$30,963,450"
2,2,"Mike Conley, PG",Memphis Grizzlies,"$26,540,100"
3,3,"Al Horford, PF",Boston Celtics,"$26,540,100"
4,4,"Dirk Nowitzki, C",Dallas Mavericks,"$25,000,000"
5,5,"Carmelo Anthony, PF",New York Knicks,"$24,559,380"
6,6,"Damian Lillard, PG",Portland Trail Blazers,"$24,328,425"
7,7,"Chris Bosh, PF",Miami Heat,"$23,741,060"
8,8,"Dwyane Wade, SG",Chicago Bulls,"$23,200,000"
9,9,"Dwight Howard, C",Atlanta Hawks,"$23,180,275"
10,10,"Chris Paul, PG",LA Clippers,"$22,868,827"
11,RK,NAME,TEAM,SALARY
12,11,"Chandler Parsons, SF",Memphis Grizzlies,"$22,116,750"
13,12,"Bradley Beal, SG",Washington Wizards,"$22,116,750"
14,13,"Anthony Davis, PF",New Orleans Pelicans,"$22,116,750"
15,14,"Derrick Rose, PG",New York Knicks,"$21,323,252"
16,15,"Marc Gasol, C",Memphis Grizzlies,"$21,165,675"
17,16,"Brook Lopez, C",Brooklyn Nets,"$21,165,675"
18,17,"Kevin Love, C",Cleveland Cavaliers,"$21,165,675"
19,18,"Nicolas Batum, SG",Charlotte Hornets,"$20,869,566"
20,19,"LaMarcus Aldridge, PF",San Antonio Spurs,"$20,575,005"
21,20,"Blake Griffin, PF",LA Clippers,"$20,140,839"
22,RK,NAME,TEAM,SALARY
23,21,"Paul Millsap, PF",Atlanta Hawks,"$20,072,033"
24,22,"Ryan Anderson, PF",Houston Rockets,"$18,735,364"
25,23,"Allen Crabbe, SG",Portland Trail Blazers,"$18,500,000"
26,24,"Paul George, SF",Indiana Pacers,"$18,314,532"
27,25,"Luol Deng, SF",Los Angeles Lakers,"$18,000,000"
28,26,"Kawhi Leonard, SF",San Antonio Spurs,"$17,638,063"
29,27,"Kyrie Irving, PG",Cleveland Cavaliers,"$17,638,063"
30,28,"Jimmy Butler, SG",Chicago Bulls,"$17,552,209"
31,29,"Tobias Harris, SF",Detroit Pistons,"$17,200,000"
32,30,"Wesley Matthews, SG",Dallas Mavericks,"$17,145,838"
33,RK,NAME,TEAM,SALARY
34,31,"Enes Kanter, C",Oklahoma City Thunder,"$17,145,838"
35,32,"Greg Monroe, C",Milwaukee Bucks,"$17,145,838"
36,33,"Evan Fournier, SG",Orlando Magic,"$17,000,000"
37,34,"Bismack Biyombo, C",Orlando Magic,"$17,000,000"
38,35,"Joakim Noah, C",New York Knicks,"$17,000,000"
39,36,"John Wall, PG",Washington Wizards,"$16,957,900"
40,37,"DeMarcus Cousins, C",Sacramento Kings,"$16,957,900"
41,38,"Klay Thompson, SG",Golden State Warriors,"$16,663,575"
42,39,"Evan Turner, SF",Portland Trail Blazers,"$16,393,443"
43,40,"Gordon Hayward, SF",Utah Jazz,"$16,073,140"
0,RK,NAME,TEAM,SALARY
1,41,"Timofey Mozgov, C",Los Angeles Lakers,"$16,000,000"
2,42,"Ian Mahinmi, C",Washington Wizards,"$15,944,154"
3,43,"Goran Dragic, PG",Miami Heat,"$15,891,725"
4,44,"Kent Bazemore, SG",Atlanta Hawks,"$15,730,338"
5,45,"Pau Gasol, C",San Antonio Spurs,"$15,500,000"
6,46,"Draymond Green, PF",Golden State Warriors,"$15,330,435"
7,47,"Tristan Thompson, C",Cleveland Cavaliers,"$15,330,435"
8,48,"Khris Middleton, SF",Milwaukee Bucks,"$15,200,000"
9,49,"Danilo Gallinari, SF",Denver Nuggets,"$15,050,000"
10,50,"Jeff Green, SF",Orlando Magic,"$15,000,000"
11,RK,NAME,TEAM,SALARY
12,51,"Reggie Jackson, PG",Detroit Pistons,"$14,956,522"
13,52,"Tony Parker, PG",San Antonio Spurs,"$14,445,313"
14,53,"Jonas Valanciunas, C",Toronto Raptors,"$14,382,023"
15,54,"DeMarre Carroll, SF",Toronto Raptors,"$14,200,000"
16,55,"Thaddeus Young, PF",Indiana Pacers,"$14,153,652"
17,56,"Manu Ginobili, SG",San Antonio Spurs,"$14,000,000"
18,57,"Eric Bledsoe, PG",Phoenix Suns,"$14,000,000"
19,58,"Rajon Rondo, PG",Chicago Bulls,"$14,000,000"
20,59,"Ricky Rubio, PG",Minnesota Timberwolves,"$13,550,000"
21,60,"Rudy Gay, SF",Sacramento Kings,"$13,333,333"
22,RK,NAME,TEAM,SALARY
23,61,"Jamal Crawford, SG",LA Clippers,"$13,253,012"
24,62,"Robin Lopez, C",Chicago Bulls,"$13,219,250"
25,63,"Michael Kidd-Gilchrist, SF",Charlotte Hornets,"$13,000,000"
26,64,"JR Smith, SG",Cleveland Cavaliers,"$12,800,000"
27,65,"Brandon Knight, PG",Phoenix Suns,"$12,606,250"
28,66,"John Henson, C",Milwaukee Bucks,"$12,517,606"
29,67,"Arron Afflalo, SG",Sacramento Kings,"$12,500,000"
30,68,"Jordan Clarkson, PG",Los Angeles Lakers,"$12,500,000"
31,69,"Miles Plumlee, C",Charlotte Hornets,"$12,500,000"
32,70,"Tyson Chandler, C",Phoenix Suns,"$12,415,000"
33,RK,NAME,TEAM,SALARY
34,71,"Eric Gordon, SG",Houston Rockets,"$12,385,364"
35,72,"Marvin Williams, PF",Charlotte Hornets,"$12,250,000"
36,73,"Serge Ibaka, PF",Toronto Raptors,"$12,250,000"
37,74,"Stephen Curry, PG",Golden State Warriors,"$12,112,359"
38,75,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000"
39,76,"Kenneth Faried, PF",Denver Nuggets,"$12,078,652"
40,77,"Marcin Gortat, C",Washington Wizards,"$12,000,000"
41,78,"Kemba Walker, PG",Charlotte Hornets,"$12,000,000"
42,79,"Amir Johnson, C",Boston Celtics,"$12,000,000"
43,80,"Nikola Vucevic, C",Orlando Magic,"$11,750,000"
0,RK,NAME,TEAM,SALARY
1,81,"Jeremy Lin, PG",Brooklyn Nets,"$11,483,254"
2,82,"Jrue Holiday, PG",New Orleans Pelicans,"$11,286,518"
3,83,"Courtney Lee, SG",New York Knicks,"$11,242,000"
4,84,"Solomon Hill, SF",New Orleans Pelicans,"$11,241,218"
5,85,"Wilson Chandler, SF",Denver Nuggets,"$11,233,146"
6,86,"Andre Iguodala, SF",Golden State Warriors,"$11,131,368"
7,87,"Derrick Favors, PF",Utah Jazz,"$11,050,000"
8,88,"Austin Rivers, PG",LA Clippers,"$11,000,000"
9,89,"Joe Johnson, SG",Utah Jazz,"$11,000,000"
10,90,"Jon Leuer, PF",Detroit Pistons,"$10,991,957"
11,RK,NAME,TEAM,SALARY
12,91,"Monta Ellis, SG",Indiana Pacers,"$10,763,500"
13,92,"Mirza Teletovic, PF",Milwaukee Bucks,"$10,500,000"
14,93,"Jared Dudley, SF",Phoenix Suns,"$10,470,000"
15,94,"Zach Randolph, PF",Memphis Grizzlies,"$10,361,445"
16,95,"Al Jefferson, C",Indiana Pacers,"$10,314,532"
17,96,"Tyreke Evans, SG",Sacramento Kings,"$10,203,755"
18,97,"Alec Burks, SG",Utah Jazz,"$10,154,495"
19,98,"Danny Green, SG",San Antonio Spurs,"$10,000,000"
20,99,"Terrence Ross, SG",Toronto Raptors,"$10,000,000"
21,100,"Omer Asik, C",New Orleans Pelicans,"$9,904,494"
22,RK,NAME,TEAM,SALARY
23,101,"Iman Shumpert, SG",Cleveland Cavaliers,"$9,662,922"
24,102,"Matthew Dellavedova, PG",Milwaukee Bucks,"$9,607,500"
25,103,"Jerryd Bayless, PG",Philadelphia 76ers,"$9,424,084"
26,104,"Trevor Booker, PF",Brooklyn Nets,"$9,250,000"
27,105,"Meyers Leonard, C",Portland Trail Blazers,"$9,213,483"
28,106,"Gerald Henderson, SG",Philadelphia 76ers,"$9,000,000"
29,107,"Maurice Harkless, SF",Portland Trail Blazers,"$8,988,765"
30,108,"Taj Gibson, PF",Oklahoma City Thunder,"$8,950,000"
31,109,"Jeff Teague, PG",Indiana Pacers,"$8,800,000"
32,110,"Tiago Splitter, C",Philadelphia 76ers,"$8,550,000"
33,RK,NAME,TEAM,SALARY
34,111,"Ersan Ilyasova, PF",Oklahoma City Thunder,"$8,400,000"
35,112,"Dwight Powell, C",Dallas Mavericks,"$8,375,000"
36,113,"Avery Bradley, SG",Boston Celtics,"$8,269,663"
37,114,"E'Twaun Moore, SF",New Orleans Pelicans,"$8,081,363"
38,115,"Darrell Arthur, PF",Denver Nuggets,"$8,070,175"
39,116,"Kosta Koufos, C",Sacramento Kings,"$8,046,500"
40,117,"Tyler Zeller, C",Boston Celtics,"$8,000,000"
41,118,"Garrett Temple, SF",Sacramento Kings,"$8,000,000"
42,119,"George Hill, PG",Utah Jazz,"$8,000,000"
43,120,"Channing Frye, PF",Cleveland Cavaliers,"$7,806,971"
0,RK,NAME,TEAM,SALARY
1,121,"Trevor Ariza, SF",Houston Rockets,"$7,806,971"
